time,test_0,test_1,test_2,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,test_11,test_12,test_13,test_14
672,0.8041075682998118,0.7664662455566181,0.7940378603366895,0.7759588079110998,0.7031612573182882,0.789404921322991,0.7270192710874696,0.76613389478348,0.7712720875896073,0.7806764709655866,0.6206675683874272,0.7501862712830928,0.7155241173028297,0.7399628201418165,0.7498107829831197
720,0.7923284346026752,0.75382086295145,0.7822059088667104,0.7636346908959205,0.6879928014537324,0.77743287669989,0.7124272142608807,0.753280809695622,0.7588922421778607,0.7685148543007406,0.6029634816219669,0.7371512031206985,0.7012598122748352,0.725634854688066,0.7368651530243981
792,0.775310890661101,0.735610875168027,0.7650722528878888,0.7458783300283778,0.6663686690210537,0.7601562730188455,0.6915912533159086,0.7347825496764199,0.7410339756743946,0.7509881479709417,0.5780354062865044,0.7184018035272353,0.6808490297203209,0.7050819231727651,0.7182363537736425
840,0.7643777028910879,0.7239487125535117,0.7540413180469485,0.7345004301407768,0.6526566291517013,0.7490686853415455,0.6783572658206511,0.722942755928361,0.7295783416488731,0.7397543050677119,0.5624193050227672,0.7064081455626885,0.6678590198981333,0.6919720854991971,0.706314860554726
888,0.7537573545524562,0.7126482589567283,0.7433098166982071,0.7234703161585131,0.6394720043582514,0.7383072278802523,0.6656155176262475,0.7114755666820177,0.7184642600828794,0.7288613131662393,0.5475445674138826,0.6947971897767435,0.655333084254626,0.6793102852809629,0.694770062190341
960,0.738384450201911,0.6963400931089588,0.7277495135578678,0.70754272878957,0.620622262123199,0.7227453333353431,0.647368995060192,0.6949364051982438,0.7024014974011711,0.7131269922171295,0.5265192098021859,0.6780599951165812,0.6373630719999087,0.6611125516537705,0.678121816541868
1008,0.7284895117490853,0.6858740973255458,0.717718396448138,0.6973146224144067,0.6086357747163424,0.7127381710899225,0.6357469775164478,0.684328317781814,0.6920785030718893,0.7030198454994838,0.5132970701791875,0.6673308081041385,0.6258972404349054,0.6494823815184968,0.6674456616118732
1056,0.7188639418601733,0.675716366168234,0.7079493795125504,0.6873827454652387,0.5970850249701471,0.7030104231824789,0.6245328455316176,0.674037391409042,0.6820488482768258,0.6932029320301937,0.5006645502875118,0.6569269060211088,0.6148191333361859,0.6382322111202805,0.6570902071104137
1128,0.7049069451229951,0.6610287970604549,0.6937663085806067,0.6730125443466075,0.5805271586381322,0.6889173710602434,0.6084316565253303,0.6591656118810048,0.667527999052397,0.6789945034893624,0.48274274550072876,0.6418998300609394,0.5988880791766293,0.6220321185855311,0.6421279309782922
1176,0.69590832996857,0.6515850059682553,0.6846112658168131,0.6637668027250038,0.5699705864082164,0.6798385463390288,0.5981498328611463,0.6496087157119195,0.6581799801114354,0.6698498638945745,0.4714315173770735,0.6322481865467735,0.5886993997082254,0.6116587679874178,0.6325146794365021
1224,0.6871433729856996,0.6424059746670681,0.6756863816457529,0.6547755737905796,0.5597772032427528,0.6710010636116869,0.5882092641388817,0.6403238268876871,0.6490855441374777,0.6609546243483797,0.4605943765014786,0.6228750852760322,0.5788374141101652,0.6016091945791568,0.6231764444853659
1296,0.6744144324274451,0.629110119154946,0.6627126837270622,0.6417432411528058,0.5451293503502945,0.6581765420842248,0.5739026547707148,0.6268818800206007,0.6358975072013564,0.6480571990287575,0.44516750796544435,0.6093122219623517,0.5646241363086643,0.5871111264904887,0.6096598132202244
1344,0.6661951404386309,0.6205464738395001,0.6543279481533226,0.6333438156194484,0.5357682175929759,0.6499016063427986,0.5647456409104548,0.61822874678705,0.6273941612969712,0.6397419852060898,0.4353986781179305,0.600585552111437,0.555514632348816,0.5778106437603208,0.6009602506490559
1392,0.6581798771449899,0.6122118473200496,0.6461460928283207,0.6251647413429761,0.5267124515924497,0.641836629603425,0.5558767285658571,0.6098105413544234,0.6191113952613564,0.6316427890777108,0.4260153518012073,0.5920990776706869,0.5466826477944361,0.5687875594786244,0.5924981542754167
1464,0.6465231603269599,0.6001197009926352,0.6342383960375221,0.6132905624396295,0.5136702917668373,0.6301155613517803,0.5430849434345327,0.5976033833641989,0.6070826067922537,0.619880741229279,0.41261680407066326,0.5797987156601252,0.5339283921727637,0.5557476180477513,0.5802296535524366
1512,0.6389858139305149,0.5923191420235574,0.62653361018035,0.6056256382617595,0.5053171781295476,0.6225415772655564,0.5348803282133454,0.5897326047091584,0.5993155077773576,0.6122857250761677,0.40410688055183913,0.5718715143013212,0.5257380777446228,0.5473681514471641,0.5723208072628053
1560,0.6316276950625457,0.5847179832799583,0.6190083741759039,0.5981528005085356,0.4972229461406403,0.61515142895262,0.526920982730491,0.5820660542964917,0.5917414006228262,0.604879129542747,0.39591384401849256,0.5641527997268287,0.5177853161982526,0.5392277221756793,0.5646183236190014
1632,0.6209127848289124,0.5736737716832454,0.6080440528687763,0.5872881119022316,0.4855418645282714,0.6043964298030122,0.5154186357568898,0.5709322244913612,0.580726791061268,0.5941073034863151,0.3841822509871518,0.5529481686372764,0.5062798132613586,0.5274441694620594,0.5534343708037642
1680,0.6139756485851648,0.5665390182463266,0.6009418621889129,0.580264877701643,0.47804563658705246,0.5974374516690594,0.5080270212960512,0.5637430087378799,0.5736050888743626,0.5871418789699202,0.37671082147222157,0.5457163805437377,0.49887827350546493,0.5198599304584539,0.5462141156161442
1728,0.6071968158823284,0.5595789209333683,0.5939992075104242,0.5734101297162376,0.47077058332785177,0.590640375927245,0.5008458247519371,0.5567324044269999,0.566653159314083,0.5803418397277204,0.36950253524216636,0.5386666574797795,0.49168152211994903,0.5124828519752217,0.539174265242955
1800,0.5973136986194629,0.5494525249131439,0.5838730696233583,0.5634308236963964,0.460252190735199,0.5807361148115338,0.49044955618792685,0.5465371927067859,0.556530645518337,0.5704390962655238,0.3591549244081125,0.5284188115019488,0.48125242045973043,0.5017880583494428,0.5289383580713024
